registered,Recency,Frequency,Monetary
807,103,1,892
808,96,1,838
809,98,1,898
810,133,1,893
811,110,2,1866
812,88,2,1773
815,96,1,884
818,95,1,905
822,95,1,899
833,89,1,917
838,70,1,922
839,76,1,943
857,82,2,1916
860,97,1,967
871,69,1,938
876,68,2,1916
885,102,1,976
886,110,1,977
